02:46:38 Started training model SecondModel with timestamp 1688258798349499200 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

02:46:38 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
02:46:39 ============ CV run for lr 0.001 and wd 0.1 ============
02:46:52 Epoch 1/30, train loss: 33.5245, train acc: 0.0349, val loss: 37.4791, val acc: 0.0849
02:56:35 Epoch 19/30, train loss: 2.1281, train acc: 0.2849, val loss: 2.4904, val acc: 0.2008
02:56:47 Epoch 20/30, train loss: 2.0933, train acc: 0.2733, val loss: 1.8756, val acc: 0.3282
02:57:00 Epoch 21/30, train loss: 1.7329, train acc: 0.3895, val loss: 2.2872, val acc: 0.1776
02:57:12 Epoch 22/30, train loss: 2.0007, train acc: 0.2267, val loss: 1.7947, val acc: 0.4324
02:57:24 Epoch 23/30, train loss: 1.5524, train acc: 0.4651, val loss: 1.5573, val acc: 0.3629
02:57:36 Epoch 24/30, train loss: 1.4720, train acc: 0.4070, val loss: 1.5340, val acc: 0.4170
02:57:48 Epoch 25/30, train loss: 1.6688, train acc: 0.3721, val loss: 1.9443, val acc: 0.3784
02:58:00 Epoch 26/30, train loss: 1.5083, train acc: 0.4360, val loss: 1.7832, val acc: 0.3668
02:58:12 Epoch 27/30, train loss: 2.2954, train acc: 0.3837, val loss: 1.8067, val acc: 0.4054
02:58:24 Epoch 28/30, train loss: 1.9917, train acc: 0.4070, val loss: 1.7086, val acc: 0.3359
02:58:36 Epoch 29/30, train loss: 1.5905, train acc: 0.3547, val loss: 1.5928, val acc: 0.4595
02:58:48 Epoch 30/30, train loss: 1.7764, train acc: 0.3837, val loss: 1.5819, val acc: 0.4788
02:58:48 Mean validation accuracy: 0.38146718146718145

02:58:50 ============ CV run for lr 0.001 and wd 0.001 ============
02:59:02 Epoch 1/30, train loss: 65.4255, train acc: 0.0698, val loss: 44.3214, val acc: 0.0811
02:59:14 Epoch 2/30, train loss: 32.7626, train acc: 0.0698, val loss: 16.9647, val acc: 0.0811
02:59:26 Epoch 3/30, train loss: 14.7130, train acc: 0.0640, val loss: 9.0921, val acc: 0.0811
02:59:38 Epoch 4/30, train loss: 7.1724, train acc: 0.0581, val loss: 6.6331, val acc: 0.0772
02:59:50 Epoch 5/30, train loss: 5.0262, train acc: 0.0581, val loss: 3.3110, val acc: 0.0811
03:00:02 Epoch 6/30, train loss: 2.9648, train acc: 0.1337, val loss: 2.5607, val acc: 0.1660
03:00:14 Epoch 7/30, train loss: 2.6025, train acc: 0.1221, val loss: 2.4517, val acc: 0.1583
03:00:26 Epoch 8/30, train loss: 2.4635, train acc: 0.1744, val loss: 2.3821, val acc: 0.1390
03:00:38 Epoch 9/30, train loss: 2.2738, train acc: 0.1628, val loss: 2.2482, val acc: 0.2239
03:00:50 Epoch 10/30, train loss: 2.0951, train acc: 0.2384, val loss: 2.0538, val acc: 0.2510
03:01:03 Epoch 11/30, train loss: 1.9476, train acc: 0.2733, val loss: 2.0536, val acc: 0.2896
03:01:15 Epoch 12/30, train loss: 1.7212, train acc: 0.3953, val loss: 1.9546, val acc: 0.3127
03:01:27 Epoch 13/30, train loss: 1.5834, train acc: 0.3953, val loss: 2.0576, val acc: 0.3552
03:01:39 Epoch 14/30, train loss: 1.6370, train acc: 0.4186, val loss: 1.5246, val acc: 0.4556
03:01:51 Epoch 15/30, train loss: 1.4506, train acc: 0.5058, val loss: 1.4633, val acc: 0.5328
03:02:03 Epoch 16/30, train loss: 1.2393, train acc: 0.5407, val loss: 1.5657, val acc: 0.4556
03:02:15 Epoch 17/30, train loss: 1.3414, train acc: 0.5116, val loss: 1.4494, val acc: 0.4749
03:02:27 Epoch 18/30, train loss: 1.3631, train acc: 0.5233, val loss: 1.1792, val acc: 0.6023
03:02:39 Epoch 19/30, train loss: 0.9980, train acc: 0.6395, val loss: 1.1988, val acc: 0.5869
03:02:51 Epoch 20/30, train loss: 0.9961, train acc: 0.6686, val loss: 1.0952, val acc: 0.6332
03:03:03 Epoch 21/30, train loss: 1.0364, train acc: 0.5581, val loss: 1.2799, val acc: 0.5019
03:03:15 Epoch 22/30, train loss: 0.7906, train acc: 0.6686, val loss: 1.1821, val acc: 0.6023
03:03:27 Epoch 23/30, train loss: 0.6949, train acc: 0.7558, val loss: 0.9435, val acc: 0.6834
03:03:39 Epoch 24/30, train loss: 0.5787, train acc: 0.8023, val loss: 1.1386, val acc: 0.6409
03:03:51 Epoch 25/30, train loss: 0.5494, train acc: 0.7965, val loss: 1.4694, val acc: 0.5290
03:04:03 Epoch 26/30, train loss: 0.6756, train acc: 0.7267, val loss: 1.1259, val acc: 0.6602
03:04:15 Epoch 27/30, train loss: 0.6537, train acc: 0.7558, val loss: 1.7530, val acc: 0.5405
03:04:27 Epoch 28/30, train loss: 0.9039, train acc: 0.6512, val loss: 1.1908, val acc: 0.6371
03:04:40 Epoch 29/30, train loss: 0.7016, train acc: 0.7093, val loss: 1.2313, val acc: 0.5405
03:04:53 Epoch 30/30, train loss: 0.6797, train acc: 0.7151, val loss: 0.7955, val acc: 0.7375
03:04:53 Mean validation accuracy: 0.6073359073359074

03:04:55 ============ CV run for lr 0.001 and wd 0.0001 ============
03:05:07 Epoch 1/30, train loss: 44.5863, train acc: 0.0756, val loss: 61.3619, val acc: 0.0811
03:05:19 Epoch 2/30, train loss: 52.2300, train acc: 0.0872, val loss: 25.8482, val acc: 0.0811
03:05:31 Epoch 3/30, train loss: 18.1187, train acc: 0.0988, val loss: 6.3471, val acc: 0.0772
03:05:43 Epoch 4/30, train loss: 4.7703, train acc: 0.0407, val loss: 3.9544, val acc: 0.1544
03:05:55 Epoch 5/30, train loss: 3.8715, train acc: 0.0930, val loss: 3.4336, val acc: 0.0965
03:06:07 Epoch 6/30, train loss: 3.1918, train acc: 0.1512, val loss: 2.5453, val acc: 0.1660
03:06:19 Epoch 7/30, train loss: 2.4908, train acc: 0.1628, val loss: 2.3732, val acc: 0.1853
03:06:31 Epoch 8/30, train loss: 2.3416, train acc: 0.2151, val loss: 2.2456, val acc: 0.2278
03:06:44 Epoch 9/30, train loss: 2.1978, train acc: 0.2035, val loss: 2.0322, val acc: 0.2510
03:06:56 Epoch 10/30, train loss: 2.0257, train acc: 0.3081, val loss: 1.8594, val acc: 0.3668
03:07:08 Epoch 11/30, train loss: 1.8024, train acc: 0.2907, val loss: 1.8079, val acc: 0.3282
03:07:20 Epoch 12/30, train loss: 1.7456, train acc: 0.3430, val loss: 1.8239, val acc: 0.3359
03:07:32 Epoch 13/30, train loss: 1.6769, train acc: 0.4070, val loss: 1.9577, val acc: 0.3012
03:07:44 Epoch 14/30, train loss: 1.5032, train acc: 0.4186, val loss: 1.5288, val acc: 0.4788
03:07:56 Epoch 15/30, train loss: 1.4162, train acc: 0.4302, val loss: 1.4732, val acc: 0.4710
03:08:08 Epoch 16/30, train loss: 1.2556, train acc: 0.5233, val loss: 1.5229, val acc: 0.4208
03:08:19 Epoch 17/30, train loss: 1.4107, train acc: 0.4767, val loss: 1.4796, val acc: 0.4865
03:08:31 Epoch 18/30, train loss: 1.1230, train acc: 0.5814, val loss: 1.3744, val acc: 0.4942
03:08:43 Epoch 19/30, train loss: 1.0079, train acc: 0.5872, val loss: 1.1812, val acc: 0.5367
03:08:55 Epoch 20/30, train loss: 0.9443, train acc: 0.6453, val loss: 1.1847, val acc: 0.5753
03:09:07 Epoch 21/30, train loss: 0.8731, train acc: 0.6221, val loss: 1.5397, val acc: 0.5174
03:09:18 Epoch 22/30, train loss: 0.9454, train acc: 0.6279, val loss: 1.2560, val acc: 0.5521
03:09:30 Epoch 23/30, train loss: 0.7740, train acc: 0.7035, val loss: 1.5591, val acc: 0.4788
03:09:42 Epoch 24/30, train loss: 0.9162, train acc: 0.6047, val loss: 1.5761, val acc: 0.4633
03:09:54 Epoch 25/30, train loss: 0.8035, train acc: 0.6860, val loss: 1.2583, val acc: 0.5753
03:10:06 Epoch 26/30, train loss: 0.7559, train acc: 0.7093, val loss: 1.3290, val acc: 0.5985
03:10:17 Epoch 27/30, train loss: 0.6494, train acc: 0.7616, val loss: 1.3542, val acc: 0.5444
03:10:29 Epoch 28/30, train loss: 0.6946, train acc: 0.7035, val loss: 1.5528, val acc: 0.4865
03:10:41 Epoch 29/30, train loss: 0.8330, train acc: 0.6744, val loss: 1.1107, val acc: 0.6371
03:10:53 Epoch 30/30, train loss: 0.5296, train acc: 0.8430, val loss: 1.1576, val acc: 0.6062
03:10:53 Mean validation accuracy: 0.5459459459459459

03:10:54 ============ CV run for lr 0.001 and wd 1e-05 ============
03:11:06 Epoch 1/30, train loss: 45.2896, train acc: 0.0756, val loss: 39.6510, val acc: 0.0772
03:11:18 Epoch 2/30, train loss: 44.4107, train acc: 0.0930, val loss: 43.8275, val acc: 0.0849
03:11:30 Epoch 3/30, train loss: 31.2911, train acc: 0.0988, val loss: 9.2018, val acc: 0.1158
03:11:42 Epoch 4/30, train loss: 7.8552, train acc: 0.0640, val loss: 5.9147, val acc: 0.0849
03:11:53 Epoch 5/30, train loss: 4.6618, train acc: 0.1337, val loss: 4.4726, val acc: 0.2046
03:12:05 Epoch 6/30, train loss: 3.3111, train acc: 0.1919, val loss: 2.4631, val acc: 0.1660
03:12:17 Epoch 7/30, train loss: 2.4529, train acc: 0.1744, val loss: 2.2653, val acc: 0.1853
03:12:29 Epoch 8/30, train loss: 2.2507, train acc: 0.2267, val loss: 2.3261, val acc: 0.2085
03:12:40 Epoch 9/30, train loss: 2.0803, train acc: 0.2674, val loss: 2.1261, val acc: 0.2587
03:12:52 Epoch 10/30, train loss: 2.0197, train acc: 0.2616, val loss: 1.9507, val acc: 0.3359
03:13:04 Epoch 11/30, train loss: 1.8529, train acc: 0.3779, val loss: 1.9828, val acc: 0.3552
03:13:16 Epoch 12/30, train loss: 1.7030, train acc: 0.4651, val loss: 1.6646, val acc: 0.3822
03:13:28 Epoch 13/30, train loss: 1.5354, train acc: 0.4535, val loss: 1.4491, val acc: 0.4749
03:13:39 Epoch 14/30, train loss: 1.3889, train acc: 0.5233, val loss: 1.4981, val acc: 0.4440
03:13:51 Epoch 15/30, train loss: 1.2548, train acc: 0.5698, val loss: 1.3904, val acc: 0.4981
03:14:03 Epoch 16/30, train loss: 1.0795, train acc: 0.6163, val loss: 1.2907, val acc: 0.5251
03:14:15 Epoch 17/30, train loss: 1.0355, train acc: 0.6221, val loss: 1.1735, val acc: 0.5444
03:14:26 Epoch 18/30, train loss: 0.8906, train acc: 0.6453, val loss: 1.4426, val acc: 0.4903
03:14:38 Epoch 19/30, train loss: 0.9226, train acc: 0.6163, val loss: 1.2439, val acc: 0.5869
03:14:50 Epoch 20/30, train loss: 0.7613, train acc: 0.7035, val loss: 1.2682, val acc: 0.4788
03:15:02 Epoch 21/30, train loss: 0.7821, train acc: 0.6686, val loss: 1.1701, val acc: 0.6139
03:15:14 Epoch 22/30, train loss: 0.7112, train acc: 0.7384, val loss: 1.0980, val acc: 0.6216
03:15:25 Epoch 23/30, train loss: 0.6639, train acc: 0.7442, val loss: 1.3730, val acc: 0.5174
03:15:37 Epoch 24/30, train loss: 0.8019, train acc: 0.6686, val loss: 1.2280, val acc: 0.5830
03:15:49 Epoch 25/30, train loss: 0.7009, train acc: 0.7209, val loss: 1.1344, val acc: 0.6371
03:16:01 Epoch 26/30, train loss: 0.6411, train acc: 0.7965, val loss: 1.1616, val acc: 0.6023
03:16:12 Epoch 27/30, train loss: 0.5313, train acc: 0.7849, val loss: 1.1585, val acc: 0.5985
03:16:24 Epoch 28/30, train loss: 0.4977, train acc: 0.8488, val loss: 1.0298, val acc: 0.6255
03:16:36 Epoch 29/30, train loss: 0.3431, train acc: 0.8779, val loss: 0.8874, val acc: 0.6911
03:16:48 Epoch 30/30, train loss: 0.2719, train acc: 0.9244, val loss: 0.9593, val acc: 0.6757
03:16:48 Mean validation accuracy: 0.6166023166023166

03:16:50 ============ CV run for lr 0.0001 and wd 0.1 ============
03:17:01 Epoch 1/30, train loss: 2.6784, train acc: 0.0930, val loss: 2.5341, val acc: 0.1351
03:17:13 Epoch 2/30, train loss: 2.4721, train acc: 0.1860, val loss: 2.4311, val acc: 0.2587
03:17:25 Epoch 3/30, train loss: 2.2735, train acc: 0.2674, val loss: 2.1863, val acc: 0.2780
03:17:37 Epoch 4/30, train loss: 2.0365, train acc: 0.3140, val loss: 1.9282, val acc: 0.3012
03:17:49 Epoch 5/30, train loss: 1.7870, train acc: 0.4302, val loss: 1.8070, val acc: 0.3436
03:18:01 Epoch 6/30, train loss: 1.6073, train acc: 0.4186, val loss: 1.8978, val acc: 0.3552
03:18:12 Epoch 7/30, train loss: 1.5775, train acc: 0.4942, val loss: 1.6129, val acc: 0.4286
03:18:24 Epoch 8/30, train loss: 1.3700, train acc: 0.5291, val loss: 1.5831, val acc: 0.4517
03:18:36 Epoch 9/30, train loss: 1.3919, train acc: 0.5523, val loss: 1.3176, val acc: 0.5792
03:18:48 Epoch 10/30, train loss: 1.1748, train acc: 0.6570, val loss: 1.6628, val acc: 0.4517
03:19:00 Epoch 11/30, train loss: 1.2142, train acc: 0.5988, val loss: 1.4138, val acc: 0.5483
03:19:11 Epoch 12/30, train loss: 1.2384, train acc: 0.6279, val loss: 1.3667, val acc: 0.5367
03:19:23 Epoch 13/30, train loss: 1.1760, train acc: 0.6860, val loss: 1.4753, val acc: 0.4402
03:19:35 Epoch 14/30, train loss: 1.2637, train acc: 0.5988, val loss: 1.3836, val acc: 0.5560
03:19:47 Epoch 15/30, train loss: 1.3839, train acc: 0.5814, val loss: 1.5041, val acc: 0.4633
03:19:59 Epoch 16/30, train loss: 1.2237, train acc: 0.5930, val loss: 1.3691, val acc: 0.5251
03:20:10 Epoch 17/30, train loss: 1.1667, train acc: 0.6279, val loss: 1.4444, val acc: 0.5135
03:20:22 Epoch 18/30, train loss: 1.1393, train acc: 0.6512, val loss: 1.4287, val acc: 0.4672
03:20:34 Epoch 19/30, train loss: 1.0892, train acc: 0.6337, val loss: 1.3845, val acc: 0.5251
03:20:46 Epoch 20/30, train loss: 1.1292, train acc: 0.6686, val loss: 1.2936, val acc: 0.6023
03:20:57 Epoch 21/30, train loss: 0.9485, train acc: 0.7326, val loss: 1.6551, val acc: 0.5135
03:21:09 Epoch 22/30, train loss: 0.9827, train acc: 0.7442, val loss: 1.2736, val acc: 0.6332
03:21:21 Epoch 23/30, train loss: 0.9921, train acc: 0.7384, val loss: 1.1497, val acc: 0.6255
03:21:33 Epoch 24/30, train loss: 1.0912, train acc: 0.6860, val loss: 1.2429, val acc: 0.5367
03:21:45 Epoch 25/30, train loss: 0.9774, train acc: 0.7093, val loss: 1.2799, val acc: 0.5907
03:21:56 Epoch 26/30, train loss: 0.9811, train acc: 0.6860, val loss: 1.2851, val acc: 0.5753
03:22:08 Epoch 27/30, train loss: 0.8750, train acc: 0.7674, val loss: 1.1256, val acc: 0.6062
03:22:20 Epoch 28/30, train loss: 0.7908, train acc: 0.7558, val loss: 1.5237, val acc: 0.4247
03:22:32 Epoch 29/30, train loss: 0.9326, train acc: 0.6512, val loss: 1.3975, val acc: 0.5290
03:22:43 Epoch 30/30, train loss: 0.9378, train acc: 0.6802, val loss: 1.3425, val acc: 0.5444
03:22:43 Mean validation accuracy: 0.5579150579150578

03:22:45 ============ CV run for lr 0.0001 and wd 0.01 ============
03:22:57 Epoch 1/30, train loss: 3.1689, train acc: 0.0698, val loss: 2.8255, val acc: 0.2046
03:23:09 Epoch 2/30, train loss: 2.6495, train acc: 0.1977, val loss: 2.5418, val acc: 0.1544
03:23:21 Epoch 3/30, train loss: 2.2425, train acc: 0.2209, val loss: 2.0018, val acc: 0.3359
03:23:32 Epoch 4/30, train loss: 1.8969, train acc: 0.3953, val loss: 1.8678, val acc: 0.3552
03:23:44 Epoch 5/30, train loss: 1.6727, train acc: 0.3953, val loss: 1.8104, val acc: 0.4363
03:23:56 Epoch 6/30, train loss: 1.5502, train acc: 0.4884, val loss: 1.5891, val acc: 0.5135
03:24:08 Epoch 7/30, train loss: 1.2920, train acc: 0.6047, val loss: 1.5183, val acc: 0.4903
03:24:20 Epoch 8/30, train loss: 1.2353, train acc: 0.5523, val loss: 1.2593, val acc: 0.5946
03:24:31 Epoch 9/30, train loss: 1.1420, train acc: 0.6744, val loss: 1.4133, val acc: 0.5444
03:24:43 Epoch 10/30, train loss: 1.0488, train acc: 0.6395, val loss: 1.2108, val acc: 0.5521
03:24:55 Epoch 11/30, train loss: 0.9537, train acc: 0.6686, val loss: 1.4543, val acc: 0.5483
03:25:07 Epoch 12/30, train loss: 0.8563, train acc: 0.6802, val loss: 1.1349, val acc: 0.6139
03:25:18 Epoch 13/30, train loss: 0.7550, train acc: 0.7791, val loss: 1.1139, val acc: 0.5792
03:25:30 Epoch 14/30, train loss: 0.6998, train acc: 0.8023, val loss: 1.1930, val acc: 0.5405
03:25:42 Epoch 15/30, train loss: 0.7332, train acc: 0.7558, val loss: 1.0443, val acc: 0.6255
03:25:54 Epoch 16/30, train loss: 0.6169, train acc: 0.8081, val loss: 1.0640, val acc: 0.6371
03:26:06 Epoch 17/30, train loss: 0.5605, train acc: 0.8430, val loss: 0.9556, val acc: 0.6873
03:26:17 Epoch 18/30, train loss: 0.4912, train acc: 0.8779, val loss: 0.8706, val acc: 0.7027
03:26:29 Epoch 19/30, train loss: 0.4579, train acc: 0.8953, val loss: 1.0749, val acc: 0.6293
03:26:41 Epoch 20/30, train loss: 0.4376, train acc: 0.8895, val loss: 1.0301, val acc: 0.6564
03:26:53 Epoch 21/30, train loss: 0.4259, train acc: 0.9070, val loss: 0.9481, val acc: 0.6680
03:27:04 Epoch 22/30, train loss: 0.4299, train acc: 0.9070, val loss: 1.1207, val acc: 0.6255
03:27:16 Epoch 23/30, train loss: 0.4274, train acc: 0.9070, val loss: 0.8729, val acc: 0.7375
03:27:28 Epoch 24/30, train loss: 0.3380, train acc: 0.9070, val loss: 0.9850, val acc: 0.6178
03:27:40 Epoch 25/30, train loss: 0.3608, train acc: 0.9070, val loss: 0.9262, val acc: 0.7066
03:27:51 Epoch 26/30, train loss: 0.3228, train acc: 0.9302, val loss: 0.8589, val acc: 0.7181
03:28:03 Epoch 27/30, train loss: 0.2932, train acc: 0.9477, val loss: 0.9714, val acc: 0.6409
03:28:15 Epoch 28/30, train loss: 0.3232, train acc: 0.9012, val loss: 0.8858, val acc: 0.6950
03:28:27 Epoch 29/30, train loss: 0.3430, train acc: 0.9186, val loss: 0.9287, val acc: 0.6757
03:28:39 Epoch 30/30, train loss: 0.3361, train acc: 0.9070, val loss: 1.0573, val acc: 0.6680
03:28:39 Mean validation accuracy: 0.6752895752895753

03:28:40 ============ CV run for lr 0.0001 and wd 0.001 ============
03:28:52 Epoch 1/30, train loss: 3.2651, train acc: 0.0640, val loss: 2.7782, val acc: 0.1274
03:29:04 Epoch 2/30, train loss: 2.6999, train acc: 0.1337, val loss: 2.3731, val acc: 0.2239
03:29:16 Epoch 3/30, train loss: 2.3675, train acc: 0.2616, val loss: 2.3382, val acc: 0.3050
03:29:27 Epoch 4/30, train loss: 2.0022, train acc: 0.4070, val loss: 2.0310, val acc: 0.2510
03:29:39 Epoch 5/30, train loss: 1.8171, train acc: 0.3547, val loss: 1.9719, val acc: 0.3822
03:29:51 Epoch 6/30, train loss: 1.6238, train acc: 0.4884, val loss: 1.5967, val acc: 0.4826
03:30:03 Epoch 7/30, train loss: 1.3039, train acc: 0.5988, val loss: 1.4202, val acc: 0.5174
03:30:15 Epoch 8/30, train loss: 1.1866, train acc: 0.6453, val loss: 1.4961, val acc: 0.5019
03:30:26 Epoch 9/30, train loss: 1.3223, train acc: 0.5988, val loss: 1.3784, val acc: 0.5676
03:30:38 Epoch 10/30, train loss: 1.2226, train acc: 0.5930, val loss: 1.4239, val acc: 0.5097
03:30:50 Epoch 11/30, train loss: 1.1829, train acc: 0.6221, val loss: 1.3993, val acc: 0.5058
03:31:02 Epoch 12/30, train loss: 0.9881, train acc: 0.6512, val loss: 1.3531, val acc: 0.5019
03:31:13 Epoch 13/30, train loss: 0.9575, train acc: 0.6919, val loss: 1.2316, val acc: 0.6178
03:31:25 Epoch 14/30, train loss: 0.9224, train acc: 0.7035, val loss: 1.3531, val acc: 0.5676
03:31:37 Epoch 15/30, train loss: 0.7714, train acc: 0.7442, val loss: 1.0675, val acc: 0.6178
03:31:49 Epoch 16/30, train loss: 0.6244, train acc: 0.8140, val loss: 1.2039, val acc: 0.6216
03:32:01 Epoch 17/30, train loss: 0.6280, train acc: 0.8081, val loss: 1.0835, val acc: 0.6641
03:32:12 Epoch 18/30, train loss: 0.5323, train acc: 0.8721, val loss: 0.9987, val acc: 0.6757
03:32:24 Epoch 19/30, train loss: 0.5306, train acc: 0.8547, val loss: 0.9400, val acc: 0.6486
03:32:36 Epoch 20/30, train loss: 0.3923, train acc: 0.9360, val loss: 1.1110, val acc: 0.6486
03:32:48 Epoch 21/30, train loss: 0.4023, train acc: 0.9186, val loss: 0.9024, val acc: 0.6680
